Context,Work Context,Work Context Description
99,Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
94,Spend Time Standing,How much does this job require standing?
89,Deal With External Customers,How important is it to work with external customers or the public in this job?
87,Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?
85,Work With Work Group or Team,How important is it to work with others in a group or team in this job?
82,Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
78,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?"
77,Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?"
76,Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?
76,Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?"
75,Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?
74,Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?
72,"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?
72,Impact of Decisions on Co-workers or Company Results,"How do the decisions an employee makes impact the results of co-workers, clients or the company?"
72,Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?"
69,Spend Time Walking and Running,How much does this job require walking and running?
67,Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?"
64,Telephone,How often do you have telephone conversations in this job?
61,Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?
58,Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?
56,Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?
55,"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?
49,Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?
46,"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?"
45,Spend Time Bending or Twisting the Body,How much does this job require bending or twisting your body?
43,Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?
42,Duration of Typical Work Week,Number of hours typically worked in one week.
36,Extremely Bright or Inadequate Lighting,How often does this job require working in extremely bright or inadequate lighting conditions?
35,Public Speaking,How often do you have to perform public speaking in this job?
33,Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
32,Deal With Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?
30,Work Schedules,How regular are the work schedules for this job?
25,Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?
24,"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?"
23,Time Pressure,How often does this job require the worker to meet strict deadlines?
20,Letters and Memos,How often does the job require written letters and memos?
20,"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
20,Exposed to Disease or Infections,How often does this job require exposure to disease/infections?
19,Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?
17,"Outdoors, Exposed to Weather","How often does this job require working outdoors, exposed to all weather conditions?"
17,Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
14,Degree of Automation,How automated is the job?
13,"Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?
9,"Outdoors, Under Cover","How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?"
9,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
7,In an Open Vehicle or Equipment,"How often does this job require working in an open vehicle or equipment (e.g., tractor)?"
7,Spend Time Sitting,How much does this job require sitting?
6,Electronic Mail,How often do you use electronic mail in this job?
5,Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?
4,Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
2,In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?"
2,"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, or poles?"
1,Exposed to High Places,How often does this job require exposure to high places?
1,Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?
1,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?"
0,Exposed to Whole Body Vibration,"How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?"
0,Exposed to Radiation,How often does this job require exposure to radiation?
