Importance,Category,Task
93,Core,"Monitor food distribution, ensuring that meals are delivered to the correct recipients and that guidelines, such as those for special diets, are followed."
88,Core,"Clean or sterilize dishes, kitchen utensils, equipment, or facilities."
87,Core,Examine trays to ensure that they contain required items.
84,Core,Place food servings on plates or trays according to orders or instructions.
81,Core,"Load trays with accessories such as eating utensils, napkins, or condiments."
80,Core,Take food orders and relay orders to kitchens or serving counters so they can be filled.
79,Core,"Stock service stations with items such as ice, napkins, or straws."
76,Core,Remove trays and stack dishes for return to kitchen after meals are finished.
76,Core,"Prepare food items, such as sandwiches, salads, soups, or beverages."
76,Core,Monitor food preparation or serving techniques to ensure that proper procedures are followed.
72,Core,"Carry food, silverware, or linen on trays or use carts to carry trays."
71,Core,Determine where patients or patrons would like to eat their meals and help them get situated.
73,Supplemental,Record amounts and types of special food items served to customers.
69,Supplemental,"Total checks, present them to customers, and accept payment for services."
