Importance,Ability,Ability Description
69,Manual Dexterity,"The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects."
60,Arm-Hand Steadiness,The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.
56,Trunk Strength,The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without 'giving out' or fatiguing.
53,Finger Dexterity,"The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects."
53,Multilimb Coordination,"The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion."
50,Static Strength,"The ability to exert maximum muscle force to lift, push, pull, or carry objects."
47,Information Ordering,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations)."
44,Oral Comprehension,The ability to listen to and understand information and ideas presented through spoken words and sentences.
44,Control Precision,The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.
44,Rate Control,The ability to time your movements or the movement of a piece of equipment in anticipation of changes in the speed and/or direction of a moving object or scene.
44,Stamina,The ability to exert yourself physically over long periods of time without getting winded or out of breath.
44,Extent Flexibility,"The ability to bend, stretch, twist, or reach with your body, arms, and/or legs."
44,Near Vision,The ability to see details at close range (within a few feet of the observer).
41,Oral Expression,The ability to communicate information and ideas in speaking so others will understand.
41,Problem Sensitivity,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem."
41,Category Flexibility,The ability to generate or use different sets of rules for combining or grouping things in different ways.
41,Speed of Limb Movement,The ability to quickly move the arms and legs.
41,Gross Body Coordination,"The ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion."
41,Far Vision,The ability to see details at a distance.
41,Speech Recognition,The ability to identify and understand the speech of another person.
41,Speech Clarity,The ability to speak clearly so others can understand you.
38,Deductive Reasoning,The ability to apply general rules to specific problems to produce answers that make sense.
38,Selective Attention,The ability to concentrate on a task over a period of time without being distracted.
38,Dynamic Strength,The ability to exert muscle force repeatedly or continuously over time. This involves muscular endurance and resistance to muscle fatigue.
38,Depth Perception,"The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object."
35,Inductive Reasoning,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).
35,Perceptual Speed,"The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object."
35,Time Sharing,"The ability to shift back and forth between two or more activities or sources of information (such as speech, sounds, touch, or other sources)."
35,Response Orientation,"The ability to choose quickly between two or more movements in response to two or more different signals (lights, sounds, pictures). It includes the speed with which the correct response is started with the hand, foot, or other body part."
35,Reaction Time,"The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears."
35,Wrist-Finger Speed,"The ability to make fast, simple, repeated movements of the fingers, hands, and wrists."
31,Visualization,The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.
31,Visual Color Discrimination,"The ability to match or detect differences between colors, including shades of color and brightness."
31,Glare Sensitivity,The ability to see objects in the presence of glare or bright lighting.
31,Hearing Sensitivity,The ability to detect or tell the differences between sounds that vary in pitch and loudness.
28,Flexibility of Closure,"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material."
28,Auditory Attention,The ability to focus on a single source of sound in the presence of other distracting sounds.
22,Written Comprehension,The ability to read and understand information and ideas presented in writing.
22,Written Expression,The ability to communicate information and ideas in writing so others will understand.
22,Fluency of Ideas,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity)."
22,Originality,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem."
22,Number Facility,"The ability to add, subtract, multiply, or divide quickly and correctly."
22,Memorization,"The ability to remember information such as words, numbers, pictures, and procedures."
22,Speed of Closure,"The ability to quickly make sense of, combine, and organize information into meaningful patterns."
22,Spatial Orientation,The ability to know your location in relation to the environment or to know where other objects are in relation to you.
22,Peripheral Vision,The ability to see objects or movement of objects to one's side when the eyes are looking ahead.
19,Mathematical Reasoning,The ability to choose the right mathematical methods or formulas to solve a problem.
19,Gross Body Equilibrium,The ability to keep or regain your body balance or stay upright when in an unstable position.
19,Sound Localization,The ability to tell the direction from which a sound originated.
16,Night Vision,The ability to see under low light conditions.
6,Dynamic Flexibility,"The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs."
3,Explosive Strength,"The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object."
