Importance,Category,Task
91,Core,"Transfer luggage, trunks, and packages to and from rooms, loading areas, vehicles, or transportation terminals, by hand or using baggage carts."
88,Core,Greet incoming guests and escort them to their rooms.
87,Core,Receive and mark baggage by completing and attaching claim checks.
85,Core,"Supply guests or travelers with directions, travel information, and other information such as available services and points of interest."
85,Core,Assist physically challenged travelers and other guests with special needs.
84,Core,"Transport guests about premises and local areas, or arrange for transportation."
80,Core,Maintain clean lobbies or entrance areas for travelers or guests.
74,Core,"Deliver messages and room service orders, and run errands for guests."
70,Core,"Act as part of the security team at transportation terminals, hotels, or similar establishments."
65,Core,"Explain the operation of room features such as locks, ventilation systems, and televisions."
70,Supplemental,"Inspect guests' rooms to ensure that they are adequately stocked, orderly, and comfortable."
68,Supplemental,"Arrange for shipments of baggage, express mail, and parcels by providing weighing and billing services."
65,Supplemental,Pick up and return items for laundry and valet service.
63,Supplemental,Compute and complete charge slips for services rendered and maintain records.
62,Supplemental,"Page guests in hotel lobbies, dining rooms, or other areas."
59,Supplemental,Complete baggage insurance forms.
53,Supplemental,"Set up conference rooms, display tables, racks, or shelves, and arrange merchandise displays for sales personnel."
