35-9031.00|Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop|Accomodation and Food Services
43-4081.00|Hotel, Motel, and Resort Desk Clerks|Accomodation and Food Services
35-2011.00|Cooks, Fast Food|Accomodation and Food Services
35-2014.00|Cooks, Restaurant|Accomodation and Food Services
35-3031.00|Waiters and Waitresses|Accomodation and Food Services
35-9021.00|Dishwashers|Accomodation and Food Services
35-3021.00|Combined Food Preparation and Serving Workers, Including Fast Food|Accomodation and Food Services
35-9011.00|Dining Room and Cafeteria Attendants and Bartender Helpers|Accomodation and Food Services
35-3011.00|Bartenders|Accomodation and Food Services
35-2015.00|Cooks, Short Order|Accomodation and Food Services
35-1012.00|First-Line Supervisors of Food Preparation and Serving Workers|Accomodation and Food Services
35-1011.00|Chefs and Head Cooks|Accomodation and Food Services
35-3022.00|Counter Attendants, Cafeteria, Food Concession, and Coffee Shop|Accomodation and Food Services
11-9081.00|Lodging Managers|Accomodation and Food Services
35-2021.00|Food Preparation Workers|Accomodation and Food Services
35-9099.00|Food Preparation and Serving Related Workers, All Other|Accomodation and Food Services
39-6011.00|Baggage Porters and Bellhops|Accomodation and Food Services
35-2019.00|Cooks, All Other|Accomodation and Food Services
11-9051.00|Food Service Managers|Accomodation and Food Services
39-6012.00|Concierges|Accomodation and Food Services
39-3011.00|Gaming Dealers|Accomodation and Food Services
35-3041.00|Food Servers, Nonrestaurant|Accomodation and Food Services
53-3031.00|Driver/Sales Workers|Accomodation and Food Services
11-9071.00|Gaming Managers|Accomodation and Food Services
39-1011.00|Gaming Supervisors|Accomodation and Food Services
37-2012.00|Maids and Housekeeping Cleaners|Accomodation and Food Services
43-3041.00|Gaming Cage Workers|Accomodation and Food Services
39-3019.00|Gaming Service Workers, All Other|Accomodation and Food Services
27-3012.00|Public Address System and Other Announcers|Accomodation and Food Services
33-9031.00|Gaming Surveillance Officers and Gaming Investigators|Accomodation and Food Services
41-2012.00|Gaming Change Persons and Booth Cashiers|Accomodation and Food Services
51-3011.00|Bakers|Accomodation and Food Services
35-2012.00|Cooks, Institution and Cafeteria|Accomodation and Food Services
13-1121.00|Meeting, Convention, and Event Planners|Accomodation and Food Services
51-6011.00|Laundry and Dry-Cleaning Workers|Accomodation and Food Services
37-1011.00|First-Line Supervisors of Housekeeping and Janitorial Workers|Accomodation and Food Services
39-3093.00|Locker Room, Coatroom, and Dressing Room Attendants|Accomodation and Food Services
27-2031.00|Dancers|Accomodation and Food Services
39-1012.00|Slot Supervisors|Accomodation and Food Services
