35-9031.00|0|Core|Greet guests and seat them at tables or in waiting areas.|94
35-9031.00|0|Core|Provide guests with menus.|94
35-9031.00|0|Core|Assign patrons to tables suitable for their needs and according to rotation so that servers receive an appropriate number of seatings.|90
35-9031.00|0|Core|Speak with patrons to ensure satisfaction with food and service, to respond to complaints, or to make conversation.|89
35-9031.00|0|Core|Answer telephone calls and respond to inquiries or transfer calls.|88
35-9031.00|0|Core|Maintain contact with kitchen staff, management, serving staff, and customers to ensure that dining details are handled properly and customers' concerns are addressed.|87
35-9031.00|0|Core|Inspect dining and serving areas to ensure cleanliness and proper setup.|86
35-9031.00|0|Core|Inform patrons of establishment specialties and features.|83
35-9031.00|0|Core|Receive and record patrons' dining reservations.|80
35-9031.00|0|Core|Inspect restrooms for cleanliness and availability of supplies and clean restrooms when necessary.|79
35-9031.00|0|Core|Direct patrons to coatrooms and waiting areas such as lounges.|72
35-9031.00|0|Supplemental|Take and prepare to-go orders.|88
35-9031.00|0|Supplemental|Operate cash registers to accept payments for food and beverages.|87
35-9031.00|0|Supplemental|Supervise and coordinate activities of dining room staff to ensure that patrons receive prompt and courteous service.|84
35-9031.00|0|Supplemental|Order or requisition supplies and equipment for tables and serving stations.|76
35-9031.00|0|Supplemental|Assist with preparing and serving food and beverages.|73
35-9031.00|0|Supplemental|Hire, train, and supervise food and beverage service staff.|71
35-9031.00|0|Supplemental|Prepare cash receipts after establishments close, and make bank deposits.|69
35-9031.00|0|Supplemental|Prepare staff work schedules.|60
35-9031.00|0|Supplemental|Confer with other staff to help plan establishments' menus.|58
35-9031.00|0|Supplemental|Plan parties or other special events and services.|57
35-9031.00|0|Supplemental|Perform marketing and advertising services.|56
35-9031.00|1|Customer and Personal Service|Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.|80
35-9031.00|1|English Language|Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|53
35-9031.00|1|Sales and Marketing|Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.|42
35-9031.00|1|Mathematics|Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.|39
35-9031.00|1|Education and Training|Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.|38
35-9031.00|1|Food Production|Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques.|36
35-9031.00|1|Administration and Management|Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.|34
35-9031.00|1|Psychology|Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.|34
35-9031.00|1|Public Safety and Security|Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.|34
35-9031.00|1|Economics and Accounting|Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.|28
35-9031.00|1|Communications and Media|Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.|28
35-9031.00|1|Personnel and Human Resources|Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.|24
35-9031.00|1|Production and Processing|Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.|24
35-9031.00|1|Telecommunications|Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.|24
35-9031.00|1|Sociology and Anthropology|Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures and their history and origins.|22
35-9031.00|1|Computers and Electronics|Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.|21
35-9031.00|1|Clerical|Knowledge of administrative and clerical procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and other office procedures and terminology.|20
35-9031.00|1|Foreign Language|Knowledge of the structure and content of a foreign (non-English) language including the meaning and spelling of words, rules of composition and grammar, and pronunciation.|19
